計算日,基準日,適用開始日,通貨ペア,為替リスク想定比率（％）,レバレッジ（倍）
(Calculation Date),(Base date),(Effective date),(Currency pair),(Margin ratio),(Leverage)
2020/7/24,2020/7/24,2020/8/3,AUDJPY.hd01,1.93,51.81
2020/7/24,2020/7/24,2020/8/3,AUDUSD.hd01,2.68,37.31
2020/7/24,2020/7/24,2020/8/3,CADJPY.hd01,2.33,42.91
2020/7/24,2020/7/24,2020/8/3,CHFJPY.hd01,2.47,40.48
2020/7/24,2020/7/24,2020/8/3,CNHJPY.hd01,2.09,47.84
2020/7/24,2020/7/24,2020/8/3,EURAUD.hd01,2.54,39.37
2020/7/24,2020/7/24,2020/8/3,EURCHF.hd01,2.57,38.91
2020/7/24,2020/7/24,2020/8/3,EURGBP.hd01,1.79,55.86
2020/7/24,2020/7/24,2020/8/3,EURJPY.hd01,2.72,36.76
2020/7/24,2020/7/24,2020/8/3,EURUSD.hd01,2.64,37.87
2020/7/24,2020/7/24,2020/8/3,GBPCHF.hd01,2.87,34.84
2020/7/24,2020/7/24,2020/8/3,GBPJPY.hd01,3.06,32.67
2020/7/24,2020/7/24,2020/8/3,GBPUSD.hd01,2.3,43.47
2020/7/24,2020/7/24,2020/8/3,HKDJPY.hd01,0.92,108.69
2020/7/24,2020/7/24,2020/8/3,MXNJPY.hd01,2.42,41.32
2020/7/24,2020/7/24,2020/8/3,NOKJPY.hd01,1.86,53.76
2020/7/24,2020/7/24,2020/8/3,NZDJPY.hd01,2.06,48.54
2020/7/24,2020/7/24,2020/8/3,NZDUSD.hd01,2.96,33.78
2020/7/24,2020/7/24,2020/8/3,SGDJPY.hd01,2.73,36.63
2020/7/24,2020/7/24,2020/8/3,TRYJPY.hd01,2.59,38.61
2020/7/24,2020/7/24,2020/8/3,USDCAD.hd01,4.03,24.81
2020/7/24,2020/7/24,2020/8/3,USDCHF.hd01,1.65,60.6
2020/7/24,2020/7/24,2020/8/3,USDJPY.hd01,1.23,81.3
2020/7/24,2020/7/24,2020/8/3,ZARJPY.hd01,1.32,75.75
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
