"計算日","基準日","適用開始日","通貨ペア","為替リスク想定比率（％）","レバレッジ（倍）"
"(Calculation Date)","(Base date)","(Effective date)","(Currency pair)","(Margin ratio)","(Leverage)"
2020/08/14,2020/08/14,2020/08/24,"AUDJPY.hd01",2.84,35.21
2020/08/14,2020/08/14,2020/08/24,"AUDUSD.hd01",2.75,36.36
2020/08/14,2020/08/14,2020/08/24,"CADJPY.hd01",1.96,51.02
2020/08/14,2020/08/14,2020/08/24,"CHFJPY.hd01",1.08,92.59
2020/08/14,2020/08/14,2020/08/24,"CNHJPY.hd01",1.45,68.96
2020/08/14,2020/08/14,2020/08/24,"EURAUD.hd01",2.56,39.06
2020/08/14,2020/08/14,2020/08/24,"EURCHF.hd01",0.65,153.84
2020/08/14,2020/08/14,2020/08/24,"EURGBP.hd01",1.64,60.97
2020/08/14,2020/08/14,2020/08/24,"EURJPY.hd01",1.34,74.62
2020/08/14,2020/08/14,2020/08/24,"EURUSD.hd01",1.27,78.74
2020/08/14,2020/08/14,2020/08/24,"GBPCHF.hd01",1.75,57.14
2020/08/14,2020/08/14,2020/08/24,"GBPJPY.hd01",1.90,52.63
2020/08/14,2020/08/14,2020/08/24,"GBPUSD.hd01",1.96,51.02
2020/08/14,2020/08/14,2020/08/24,"HKDJPY.hd01",1.45,68.96
2020/08/14,2020/08/14,2020/08/24,"MXNJPY.hd01",4.21,23.75
2020/08/14,2020/08/14,2020/08/24,"NOKJPY.hd01",3.99,25.06
2020/08/14,2020/08/14,2020/08/24,"NZDJPY.hd01",2.54,39.37
2020/08/14,2020/08/14,2020/08/24,"NZDUSD.hd01",2.41,41.49
2020/08/14,2020/08/14,2020/08/24,"SGDJPY.hd01",1.41,70.92
2020/08/14,2020/08/14,2020/08/24,"TRYJPY.hd01",3.08,32.46
2020/08/14,2020/08/14,2020/08/24,"USDCAD.hd01",1.44,69.44
2020/08/14,2020/08/14,2020/08/24,"USDCHF.hd01",1.20,83.33
2020/08/14,2020/08/14,2020/08/24,"USDJPY.hd01",1.46,68.49
2020/08/14,2020/08/14,2020/08/24,"ZARJPY.hd01",3.31,30.21
