Effect date,Curreny pair,Swap long,Swap short
2020/8/15,USDJPY.hd01,-40,-100
2020/8/15,EURJPY.hd01,-30,-70
2020/8/15,GBPJPY.hd01,-70,-100
2020/8/15,AUDJPY.hd01,-20,-150
2020/8/15,NZDJPY.hd01,-30,-120
2020/8/15,ZARJPY.hd01,20,150
2020/8/15,CADJPY.hd01,20,140
2020/8/15,CHFJPY.hd01,30,150
2020/8/15,HKDJPY.hd01,30,150
2020/8/15,SGDJPY.hd01,-40,-100
2020/8/15,MXNJPY.hd01,-60,-120
2020/8/15,CNHJPY.hd01,70,100
2020/8/15,EURUSD.hd01,80,-150
2020/8/15,GBPUSD.hd01,-30,-70
2020/8/15,AUDUSD.hd01,-60,-100
2020/8/15,NZDUSD.hd01,-30,-70
2020/8/15,USDCHF.hd01,-70,-120
2020/8/15,EURCHF.hd01,-30,-80
2020/8/15,GBPCHF.hd01,-70,-100
2020/8/15,TRYJPY.hd01,-40,-100
